,Name,Place,Address,Lat,Lng
39,Treybrooke Apartments,"Raleigh, North Carolina","201 Treybrooke Dr, Morrisville, NC 27560, USA",35.8323093,-78.8366478
40,First Street Place,"Greenville, North Carolina","400 W 1st St, Greenville, NC 27834, USA",35.6163835,-77.3752154
41,Spring Place,"Greensboro, North Carolina","3610 Clifton Rd, Greensboro, NC 27407, USA",36.0588955,-79.85190209999999
42,Preserve at the Park,"Durham, North Carolina","5639 Old Chapel Hill Rd, Durham, NC 27707, USA",35.9430893,-79.0021093
43,Reserve at StoneHollow,"Charlotte, North Carolina","8800 Hollow Creek Cir, Charlotte, NC 28262, USA",35.37165,-80.736476
44,The Point at Westside,"Atlanta, Georgia","370 Northside Dr NW, Atlanta, GA 30318, USA",33.765192,-84.4049802
45,Village on the Green Apartments,"Atlanta, Georgia","2975 Continental Colony Pkwy SW, Atlanta, GA 30331, USA",33.6847158,-84.49496309999999
46,The Lodge at Athens,"Athens, Georgia","211 North Ave, Athens, GA 30601, USA",33.971286,-83.36988199999999
47,Estates at Perimeter,"Augusta, Georgia","50 St. Andrews Dr., Augusta, GA 30909, United States",33.490051,-82.086333
48,Village at Rice Hope,"Port Wentworth, Georgia","203 Magnolia Blvd, Port Wentworth, GA 31407, USA",32.2104999,-81.19902479999999
49,Hamptons at East Cobb,"Marietta, Georgia","1523 Roswell Rd, Marietta, GA 30062, USA",33.953323,-84.50872919999999
50,"Village at Rice Hope, Phase II","Port Wentworth, Georgia",error,error,error
51,Amber Mill,"Duluth, Georgia","2906 Old Norcross Rd, Duluth, GA 30096, USA",33.9509619,-84.1001768
52,Marina Shores,"Virginia Beach, Virginia","Marina Shores Dr, Virginia Beach, VA 23451, USA",36.90615409999999,-76.06627259999999
53,Apex on Preston,"Louisville, Kentucky","11602 Apex View Dr, Louisville, KY 40229, USA",38.0936188,-85.6726932
54,851 W Grand,"Chicago, Illinois","851 W Grand Ave, Chicago, IL 60642, USA",41.8909051,-87.649706
55,Shallowford Trace,"Chattanooga, Tennessee","7510 Shallowford Rd, Chattanooga, TN 37421, USA",35.0371567,-85.1432136
56,Apex on Preston,"Knoxville, Tennessee","11602 Apex View Dr, Louisville, KY 40229, USA",38.0936188,-85.6726932
57,Bridgeway,"Knoxville, Tennessee","Bridgeway Dr, Maryville, TN 37801, USA",35.7506726,-84.0079853
58,Point at Waterford Crossing,"Hendersonville, Tennessee","100 Spade Leaf Blvd, Hendersonville, TN 37075, USA",36.2957509,-86.6145689
59,Mountain Brook,"Chattanooga, Tennessee","Mountain Creek Rd, Chattanooga, TN, USA",35.131286,-85.3087999
60,Bridgeway Chattanooga,"Chattanooga, Tennessee",error,error,error
61,Cordova Creek,"Memphis, Tennessee","7965 Humphreys Hill Dr, Hunters Hollow South, TN 38016, USA",35.1573031,-89.79751189999999
62,Moderne at Providence,"Huntsville, AL","30 Gates Mill St. NW, Huntsville, AL 35806, United States",34.753527,-86.693803
63,The Point at Oak Mountain,"Birmingham, AL","1 Stonecrest Dr, Birmingham, AL 35242, USA",33.40711,-86.66008
64,The Point at Fairview,"Prattville, AL","669 Covered Bridge Pkwy, Prattville, AL 36066, USA",32.480822,-86.41385939999999
